Timestamp,User_ID,IP_Address,Activity_Type,Resource_Accessed,File_Name,Action,Login_Attempts,File_Size,Anomaly_Type,Label
53:26.4,9288,10.174.236.5,File_Modification,/network/logs/new_project.docx,new_project.docx,Delete,,30.66,DDoS_Attempt,Suspicious
13:49.7,1605,172.19.128.216,USB_Insert,/server/secrets.txt,,Read,,,Brute_Force,Suspicious
31:39.2,3056,192.168.201.132,File_Modification,/project/document2.docx,document2.docx,N/A,,21.61,DDoS_Attempt,Suspicious
27:57.6,1564,10.119.122.121,Network_Traffic,/backup/document2.docx,,Delete,,,None,Normal
00:55.0,3660,172.23.2.38,USB_Insert,/confidential/report1.pdf,,Write,,,None,Normal
27:42.9,8393,172.27.249.195,File_Access,/backup/report1.pdf,report1.pdf,Read,,10.66,None,Normal
21:21.8,7927,172.16.182.238,Network_Traffic,/backup/report1.pdf,,Failed,,,None,Normal
44:10.7,9558,192.168.182.157,Network_Traffic,/confidential/data.csv,,Delete,,,None,Normal
37:52.5,4816,10.81.94.240,Network_Traffic,/project/new_project.docx,,Success,,,None,Normal
04:45.7,3738,172.23.90.16,Network_Traffic,/confidential/report1.pdf,,Failed,,,None,Normal
32:16.1,8671,172.16.63.92,Login,/backup/new_project.docx,,N/A,2,,None,Normal
30:57.6,8839,10.191.127.188,Login,/backup/new_project.docx,,Read,5,,None,Normal
32:22.1,3681,192.168.0.118,File_Deletion,/network/logs/report1.pdf,report1.pdf,N/A,,39.95,None,Normal
04:24.2,1604,192.168.138.33,Remote_Login,/project/new_project.docx,,N/A,2,,None,Normal
57:41.3,9904,172.25.182.213,File_Modification,/project/report1.pdf,report1.pdf,Failed,,0.26,None,Normal
18:14.7,1383,192.168.209.76,Network_Traffic,/network/logs/report2.pdf,,Delete,,,None,Normal
46:26.5,7702,172.23.120.192,File_Modification,/project/new_project.docx,new_project.docx,N/A,,25.05,None,Normal
50:23.5,8609,10.110.179.69,Login,/network/logs/data.csv,,Delete,4,,None,Normal
18:36.8,7791,172.30.132.153,File_Access,/backup/secrets.txt,secrets.txt,Failed,,10.4,None,Normal
22:04.2,1807,192.168.26.160,Remote_Login,/confidential/report2.pdf,,Inserted,10,,None,Normal
16:58.6,3193,192.168.111.76,File_Deletion,/network/logs/secrets.txt,secrets.txt,Inserted,,21.84,Brute_Force,Suspicious
24:33.4,4216,172.19.137.52,File_Modification,/backup/new_project.docx,new_project.docx,Failed,,38.81,None,Normal
09:26.2,4797,192.168.212.240,File_Deletion,/confidential/data.csv,data.csv,Failed,,40.94,None,Normal
12:14.0,1398,192.168.53.199,USB_Insert,/project/report2.pdf,,Read,,,None,Normal
18:29.7,7554,10.241.210.196,File_Access,/backup/document2.docx,document2.docx,Read,,22.87,None,Normal
11:42.9,1179,192.168.174.18,Remote_Login,/project/report1.pdf,,Write,6,,None,Normal
10:31.6,9988,192.168.69.125,File_Modification,/network/logs/data.csv,data.csv,Success,,38.68,None,Normal
32:28.1,2783,192.168.89.251,File_Access,/confidential/document2.docx,document2.docx,Delete,,16.23,None,Normal
45:42.5,6671,172.30.8.235,USB_Insert,/confidential/new_project.docx,,Write,,,None,Normal
33:41.5,9381,192.168.75.115,Remote_Login,/backup/report2.pdf,,Delete,9,,None,Normal
50:54.6,3144,10.109.139.97,USB_Insert,/project/secrets.txt,,Failed,,,None,Normal
46:41.9,2863,10.70.124.201,File_Deletion,/shared/documents/report2.pdf,report2.pdf,Read,,46.88,Data_Exfil,Suspicious
33:09.1,6328,10.9.16.60,Network_Traffic,/backup/document2.docx,,Success,,,None,Normal
58:14.5,2665,192.168.213.245,File_Access,/shared/documents/report2.pdf,report2.pdf,Inserted,,18.09,None,Normal
32:21.8,4797,172.21.82.78,File_Deletion,/project/data.csv,data.csv,Success,,43.08,None,Normal
32:01.9,5509,10.236.1.2,File_Modification,/project/new_project.docx,new_project.docx,Delete,,13.25,None,Normal
58:48.5,7437,10.199.163.55,File_Deletion,/server/report2.pdf,report2.pdf,Write,,13.7,None,Normal
01:39.5,2802,10.219.75.82,USB_Insert,/backup/report1.pdf,,Failed,,,None,Normal
40:32.8,2423,172.31.230.193,Network_Traffic,/shared/documents/report1.pdf,,Read,,,None,Normal
36:01.3,8950,10.44.201.19,File_Modification,/project/new_project.docx,new_project.docx,Failed,,9.07,None,Normal
11:54.0,8422,10.213.228.173,Remote_Login,/backup/secrets.txt,,N/A,10,,None,Normal
16:57.2,6666,10.61.188.73,Network_Traffic,/network/logs/secrets.txt,,Failed,,,None,Normal
50:26.1,1338,192.168.61.129,Remote_Login,/confidential/document2.docx,,Read,1,,DDoS_Attempt,Suspicious
59:06.3,6310,10.220.177.50,Login,/shared/documents/secrets.txt,,Read,8,,None,Normal
02:09.9,9447,192.168.134.224,File_Access,/project/report1.pdf,report1.pdf,Read,,6.3,None,Normal
55:18.4,9011,172.29.139.153,Login,/shared/documents/report1.pdf,,Write,8,,None,Normal
09:11.3,4353,172.20.114.216,File_Access,/confidential/data.csv,data.csv,Failed,,21.53,Brute_Force,Suspicious
24:38.4,3831,172.22.236.202,File_Modification,/project/document2.docx,document2.docx,Read,,33.85,None,Normal
